,RdeltaB,Bpre,Bpost,itemideology,itemnum,partideology,ide_ms,ide_abs,partnum
228,61,39,100,3,4,0.0,1.0,100.0,28
229,76,24,100,3,5,0.0,1.0,100.0,28
230,100,0,100,3,6,0.0,1.0,100.0,28
231,30,70,100,3,7,0.0,1.0,100.0,28
232,0,50,50,1,0,0.0,1.0,100.0,29
233,0,50,50,1,1,0.0,1.0,100.0,29
234,0,50,50,2,2,0.0,1.0,100.0,29
235,0,50,50,2,3,0.0,1.0,100.0,29
236,0,50,50,3,4,0.0,1.0,100.0,29
237,0,50,50,3,5,0.0,1.0,100.0,29
238,0,50,50,3,6,0.0,1.0,100.0,29
239,0,50,50,3,7,0.0,1.0,100.0,29
240,0,100,100,1,0,0.0,1.0,100.0,30
241,0,100,100,1,1,0.0,1.0,100.0,30
242,100,0,100,2,2,0.0,1.0,100.0,30
243,25,75,100,2,3,0.0,1.0,100.0,30
244,25,75,100,3,4,0.0,1.0,100.0,30
245,99,1,100,3,5,0.0,1.0,100.0,30
246,45,55,100,3,6,0.0,1.0,100.0,30
247,100,0,100,3,7,0.0,1.0,100.0,30
248,-1,88,87,1,0,0.0,1.0,100.0,31
249,0,98,98,1,1,0.0,1.0,100.0,31
250,0,0,0,2,2,0.0,1.0,100.0,31
251,1,97,98,2,3,0.0,1.0,100.0,31
252,0,48,48,3,4,0.0,1.0,100.0,31
253,1,42,43,3,5,0.0,1.0,100.0,31
254,0,50,50,3,6,0.0,1.0,100.0,31
255,-13,13,0,3,7,0.0,1.0,100.0,31
256,0,100,100,1,0,0.0,1.0,100.0,32
257,0,100,100,1,1,0.0,1.0,100.0,32
258,100,0,100,2,2,0.0,1.0,100.0,32
259,100,0,100,2,3,0.0,1.0,100.0,32
260,17,83,100,3,4,0.0,1.0,100.0,32
261,100,0,100,3,5,0.0,1.0,100.0,32
262,50,50,100,3,6,0.0,1.0,100.0,32
263,96,0,96,3,7,0.0,1.0,100.0,32
264,7,90,97,1,0,0.0,1.0,100.0,33
265,0,100,100,1,1,0.0,1.0,100.0,33
266,62,12,74,2,2,0.0,1.0,100.0,33
267,47,37,84,2,3,0.0,1.0,100.0,33
268,47,37,84,3,4,0.0,1.0,100.0,33
269,62,12,74,3,5,0.0,1.0,100.0,33
270,44,56,100,3,6,0.0,1.0,100.0,33
271,38,46,84,3,7,0.0,1.0,100.0,33
272,-5,55,50,1,0,0.0,1.0,100.0,34
273,-48,63,15,1,1,0.0,1.0,100.0,34
274,18,55,73,2,2,0.0,1.0,100.0,34
275,4,39,43,2,3,0.0,1.0,100.0,34
276,-10,60,50,3,4,0.0,1.0,100.0,34
277,0,50,50,3,5,0.0,1.0,100.0,34
278,-6,55,49,3,6,0.0,1.0,100.0,34
279,-19,69,50,3,7,0.0,1.0,100.0,34
280,0,0,0,1,0,0.0,1.0,100.0,35
281,0,0,0,1,1,0.0,1.0,100.0,35
282,0,0,0,2,2,0.0,1.0,100.0,35
283,0,0,0,2,3,0.0,1.0,100.0,35
284,0,0,0,3,4,0.0,1.0,100.0,35
285,0,0,0,3,5,0.0,1.0,100.0,35
286,0,0,0,3,6,0.0,1.0,100.0,35
287,0,0,0,3,7,0.0,1.0,100.0,35
288,-1,100,99,1,0,0.0,1.0,100.0,36
289,2,70,72,1,1,0.0,1.0,100.0,36
290,-14,96,82,2,2,0.0,1.0,100.0,36
291,0,100,100,2,3,0.0,1.0,100.0,36
292,0,100,100,3,4,0.0,1.0,100.0,36
293,6,94,100,3,5,0.0,1.0,100.0,36
294,-8,97,89,3,6,0.0,1.0,100.0,36
295,40,31,71,3,7,0.0,1.0,100.0,36
296,51,49,100,1,0,0.0,1.0,100.0,37
297,100,0,100,1,1,0.0,1.0,100.0,37
